flight_pk,parameter,phases,value
8306239,Mach Selected Recorded,Taxiing,0.008942466
8306239,Mach Selected Recorded,Descent,0.034995112
8306239,Mach Selected Recorded,Grounded,0.007988166
8306239,Mach Selected Recorded,Airborne,0.017773507
8306239,Mach Selected Recorded,Final Approach,0
8306239,Mach Selected Recorded,Approach And Landing,0.004195804
8306239,Mach Selected Recorded,Approach,0
8306239,Mach Selected Recorded,Taxi Out,0
8306239,Mach Selected Recorded,Landing,0.016666667
8306239,Mach Selected Recorded,Descending,0.048707483
8306239,Mach Selected Recorded,Climbing,0.009712895
8306239,Mach Selected Recorded,Turning On Ground,0.013
8306239,Mach Selected Recorded,Mobile,0.016423244
8306239,Mach Selected Recorded,Cruise,0.006675749
8306239,Mach Selected Recorded,Climb Cruise Descent,0.017773507
8306239,Mach Selected Recorded,Takeoff Rotation,0
8306239,Mach Selected Recorded,Fast,0.017682485
8306239,Mach Selected Recorded,Climb,0.015029126
8306239,Mach Selected Recorded,Level Flight,0.006372549
8306239,Mach Selected Recorded,Landing Roll,0.012
8306239,Mach Selected Recorded,Takeoff Roll,0
8306239,Mach Selected Recorded,Taxi In,0.024
8306239,Mach Selected Recorded,Takeoff,0
8306239,Mach Selected Recorded,Turning In Air,0
8306239,DFDAU Program Ident,Taxi Out,17
8306239,DFDAU Program Ident,Climb Cruise Descent,18.34065934
8306239,DFDAU Program Ident,Taxiing,17.90909091
8306239,DFDAU Program Ident,Descent,19
8306239,DFDAU Program Ident,Grounded,17.76190476
8306239,DFDAU Program Ident,Mobile,18.25925926
8306239,DFDAU Program Ident,Level Flight,18.1
8306239,DFDAU Program Ident,Takeoff,17
8306239,DFDAU Program Ident,Turning In Air,19
8306239,DFDAU Program Ident,Landing,19
8306239,DFDAU Program Ident,Taxi In,19
8306239,DFDAU Program Ident,Final Approach,19
8306239,DFDAU Program Ident,Cruise,18.02173913
8306239,DFDAU Program Ident,Descending,19
8306239,DFDAU Program Ident,Airborne,18.34065934
8306239,DFDAU Program Ident,Approach And Landing,19
8306239,DFDAU Program Ident,Climbing,17.84615385
8306239,DFDAU Program Ident,Climb,17.84615385
8306239,DFDAU Program Ident,Approach,19
8306239,DFDAU Program Ident,Fast,18.34065934
8306239,DFDAU Program Ident,Takeoff Roll,17
8306239,Center Of Gravity,Taxiing,24.34815071
8306239,Center Of Gravity,Descent,26.77624839
8306239,Center Of Gravity,Grounded,24.32638907
8306239,Center Of Gravity,Airborne,30.03785681
8306239,Center Of Gravity,Final Approach,25.11199849
8306239,Center Of Gravity,Approach And Landing,25.08222072
8306239,Center Of Gravity,Approach,25.09703553
8306239,Center Of Gravity,Taxi Out,24.05309715
8306239,Center Of Gravity,Landing,25.03777628
8306239,Center Of Gravity,Descending,27.27657445
8306239,Center Of Gravity,Climbing,26.05155184
8306239,Center Of Gravity,Turning On Ground,24.4566652
8306239,Center Of Gravity,Mobile,29.14395201
8306239,Center Of Gravity,Cruise,33.43958927
8306239,Center Of Gravity,Climb Cruise Descent,30.03785681
8306239,Center Of Gravity,Takeoff Rotation,24.20999855
8306239,Center Of Gravity,Fast,30.00739752
8306239,Center Of Gravity,Climb,26.15883338
8306239,Center Of Gravity,Level Flight,32.65347043
8306239,Center Of Gravity,Landing Roll,25.11999849
8306239,Center Of Gravity,Takeoff Roll,24.04571284
8306239,Center Of Gravity,Taxi In,24.8328246
8306239,Center Of Gravity,Takeoff,24.0539116
8306239,Center Of Gravity,Turning In Air,25.39999848
8306239,Track,Taxiing,164.9596568
8306239,Track,Descent,139.7531684
8306239,Track,Grounded,137.4864064
8306239,Track,Airborne,129.2701135
8306239,Track,Final Approach,52.9793423
8306239,Track,Approach And Landing,51.03855439
8306239,Track,Approach,53.09932709
8306239,Track,Taxi Out,99.9825083
8306239,Track,Landing,44.88773346
8306239,Track,Descending,161.9954588
8306239,Track,Climbing,134.0146654
8306239,Track,Turning On Ground,214.8046875
8306239,Track,Mobile,132.4038408
8306239,Track,Cruise,120.723943
8306239,Track,Climb Cruise Descent,129.2701135
8306239,Track,Takeoff Rotation,129.2678284
8306239,Track,Fast,129.1154357
8306239,Track,Climb,133.6987701
8306239,Track,Level Flight,114.6020423
8306239,Track,Landing Roll,53.96300065
8306239,Track,Takeoff Roll,129.0416091
8306239,Track,Taxi In,249.0566459
8306239,Track,Takeoff,127.9123122
8306239,Track,Turning In Air,168.7195685
8306239,Analog Parameter Port 20 Mbb 403,Taxiing,2014.745205
8306239,Analog Parameter Port 20 Mbb 403,Descent,2016.117302
8306239,Analog Parameter Port 20 Mbb 403,Grounded,2015.091716
8306239,Analog Parameter Port 20 Mbb 403,Airborne,2013.730611
8306239,Analog Parameter Port 20 Mbb 403,Final Approach,2017.307692
8306239,Analog Parameter Port 20 Mbb 403,Approach And Landing,2015.678322
8306239,Analog Parameter Port 20 Mbb 403,Approach,2016.35514
8306239,Analog Parameter Port 20 Mbb 403,Taxi Out,2014.812721
8306239,Analog Parameter Port 20 Mbb 403,Landing,2013.666667
8306239,Analog Parameter Port 20 Mbb 403,Descending,2015.978231
8306239,Analog Parameter Port 20 Mbb 403,Climbing,2012.927007
8306239,Analog Parameter Port 20 Mbb 403,Turning On Ground,2016.5
8306239,Analog Parameter Port 20 Mbb 403,Mobile,2013.895924
8306239,Analog Parameter Port 20 Mbb 403,Cruise,2012.303134
